Year,Team,Value
2013,Cleveland Indians,0.932692308
2014,Cleveland Indians,0.940145985
2015,Cleveland Indians,1.245283019
2016,Cleveland Indians,1.241678726
2017,Cleveland Indians,0.995786517
2018,Cleveland Indians,1.143063584
2019,Cleveland Indians,0.972337483
2010,Colorado Rockies,1.364069952
2011,Colorado Rockies,1.34681182
2012,Colorado Rockies,1.579029734
2013,Colorado Rockies,1.272868217
2014,Colorado Rockies,1.510333863
2015,Colorado Rockies,1.43605547
2016,Colorado Rockies,1.368055556
2017,Colorado Rockies,1.331858407
2018,Colorado Rockies,1.248175182
2019,Colorado Rockies,1.393858478
2010,Detroit Tigers,0.981432361
2011,Detroit Tigers,1.026282854
2012,Detroit Tigers,1.057342657
2013,Detroit Tigers,1.151734104
2014,Detroit Tigers,0.969656992
2015,Detroit Tigers,0.912820513
2016,Detroit Tigers,0.997297297
2017,Detroit Tigers,1.169107856
2018,Detroit Tigers,0.945429741
2019,Detroit Tigers,1.150862069
2010,Houston Astros,0.863699583
2011,Houston Astros,1.099702381
2012,Houston Astros,0.936708861
2013,Houston Astros,1.073968706
2014,Houston Astros,1.011904762
2015,Houston Astros,0.924033149
2016,Houston Astros,0.808375635
2017,Houston Astros,0.845828933
2018,Houston Astros,0.997163121
2019,Houston Astros,1.144871795
2010,Kansas City Royals,1.006596306
2011,Kansas City Royals,0.991989319
2012,Kansas City Royals,1.034334764
2013,Kansas City Royals,1.081666667
2014,Kansas City Royals,1.00867052
2015,Kansas City Royals,0.971576227
2016,Kansas City Royals,1.17057903
2017,Kansas City Royals,0.926451613
2018,Kansas City Royals,1.06022409
2019,Kansas City Royals,1.044502618
2010,Los Angeles Angels,0.863881402
2011,Los Angeles Angels,0.836158192
2012,Los Angeles Angels,0.812113721
2013,Los Angeles Angels,0.967871486
2014,Los Angeles Angels,0.919137466
2015,Los Angeles Angels,0.860724234
2016,Los Angeles Angels,0.91005291
2017,Los Angeles Angels,0.949175824
2018,Los Angeles Angels,0.968622101
2019,Los Angeles Angels,0.981504316
2010,Los Angeles Dodgers,0.938659058
2011,Los Angeles Dodgers,0.938556068
2012,Los Angeles Dodgers,0.866868381
2013,Los Angeles Dodgers,0.896802326
2014,Los Angeles Dodgers,0.950937951
2015,Los Angeles Dodgers,0.898550725
2016,Los Angeles Dodgers,0.83817952
2017,Los Angeles Dodgers,0.969496021
2018,Los Angeles Dodgers,0.886674969
2019,Los Angeles Dodgers,0.908415842
2010,Miami Marlins,0.990042674
2011,Miami Marlins,0.963017751
2012,Miami Marlins,1.004511278
2013,Miami Marlins,1.029772329
2014,Miami Marlins,1.013740458
2015,Miami Marlins,0.950151057
2016,Miami Marlins,0.831955923
2017,Miami Marlins,0.862630966
2018,Miami Marlins,0.756281407
2019,Miami Marlins,1.086510264
2010,Milwaukee Brewers,1.00516129
2011,Milwaukee Brewers,1.073033708
2012,Milwaukee Brewers,1.168103448
2013,Milwaukee Brewers,1.109697933
2014,Milwaukee Brewers,1.001531394
2015,Milwaukee Brewers,1.102719033
2016,Milwaukee Brewers,0.971910112
2017,Milwaukee Brewers,1.065028902
2018,Milwaukee Brewers,1.028885832
2019,Milwaukee Brewers,0.975546976
2010,Minnesota Twins,0.977242303
2011,Minnesota Twins,0.943989071
2012,Minnesota Twins,1.044
2013,Minnesota Twins,1.020172911
2014,Minnesota Twins,1.116312057
2015,Minnesota Twins,0.994285714
2016,Minnesota Twins,1.044416244
2017,Minnesota Twins,1.095424837
2018,Minnesota Twins,0.990728477
2019,Minnesota Twins,0.955732123
2010,New York Mets,0.940458015
2011,New York Mets,0.908496732
2012,New York Mets,0.874482759
2013,New York Mets,0.883954155
2014,New York Mets,0.847407407
2015,New York Mets,0.900537634
2016,New York Mets,0.987654321
2017,New York Mets,0.858139535
2018,New York Mets,0.737373737
2019,New York Mets,0.902227723
2010,New York Yankees,1.155672823
2011,New York Yankees,1.151020408
2012,New York Yankees,0.990849673
2013,New York Yankees,1.086887836
2014,New York Yankees,0.944527736
2015,New York Yankees,1.022130014
2016,New York Yankees,1.035346097
2017,New York Yankees,1.003759398
2018,New York Yankees,1.12027027
2019,New York Yankees,0.886061947
2010,Oakland Athletics,0.95599393
2011,Oakland Athletics,0.947058824
2012,Oakland Athletics,0.879888268
2013,Oakland Athletics,0.873684211
2014,Oakland Athletics,1.023328149
2015,Oakland Athletics,0.943989071
2016,Oakland Athletics,0.82923674
2017,Oakland Athletics,1.103494624
2018,Oakland Athletics,0.840346535
2019,Oakland Athletics,0.84596577
2010,Philadelphia Phillies,1.002728513
2011,Philadelphia Phillies,1.018897638
2012,Philadelphia Phillies,0.968253968
2013,Philadelphia Phillies,1.105263158
2014,Philadelphia Phillies,0.929098966
2015,Philadelphia Phillies,1.038352273
2016,Philadelphia Phillies,0.840314136
2017,Philadelphia Phillies,1.073239437
2018,Philadelphia Phillies,1.027616279
2019,Philadelphia Phillies,1.046997389
2010,Pittsburgh Pirates,1.026499303
2011,Pittsburgh Pirates,0.958518519
2012,Pittsburgh Pirates,0.764314248
2013,Pittsburgh Pirates,0.889393939
2014,Pittsburgh Pirates,0.944687045
2015,Pittsburgh Pirates,0.932735426
2016,Pittsburgh Pirates,1.006747638
2017,Pittsburgh Pirates,0.935933148
2018,Pittsburgh Pirates,0.869095816
2019,Pittsburgh Pirates,0.993997599
2010,San Diego Padres,0.882175227
2011,San Diego Padres,0.827794562
2012,San Diego Padres,0.854223433
2013,San Diego Padres,0.830555556
2014,San Diego Padres,0.825944171
2015,San Diego Padres,0.931468531
2016,San Diego Padres,1.013831259
2017,San Diego Padres,0.827541828
2018,San Diego Padres,1.005873715
2019,San Diego Padres,0.859671302
2010,San Francisco Giants,0.965811966
2011,San Francisco Giants,0.736762481
2012,San Francisco Giants,0.76547619
2013,San Francisco Giants,0.869688385
2014,San Francisco Giants,0.929848693
2015,San Francisco Giants,0.845188285
2016,San Francisco Giants,1.032496307
2017,San Francisco Giants,0.849673203
2018,San Francisco Giants,1.01236476
2019,San Francisco Giants,0.798017348
2010,Seattle Mariners,0.812874251
2011,Seattle Mariners,0.87652439
2012,Seattle Mariners,0.694892473
2013,Seattle Mariners,0.99132948
2014,Seattle Mariners,0.824884793
2015,Seattle Mariners,0.877717391
2016,Seattle Mariners,0.940789474
2017,Seattle Mariners,0.916876574
2018,Seattle Mariners,0.845744681
2019,Seattle Mariners,0.980511571
2010,St. Louis Cardinals,0.936708861
2011,St. Louis Cardinals,0.864
2012,St. Louis Cardinals,0.959896507
2013,St. Louis Cardinals,0.907810499
2014,St. Louis Cardinals,1.042586751
2015,St. Louis Cardinals,0.907378336
2016,St. Louis Cardinals,0.921391753
2017,St. Louis Cardinals,0.899608866
2018,St. Louis Cardinals,0.92563081
2019,St. Louis Cardinals,0.896419437
2010,Tampa Bay Rays,0.802663438
2011,Tampa Bay Rays,0.810666667
2012,Tampa Bay Rays,0.873529412
2013,Tampa Bay Rays,0.906336088
2014,Tampa Bay Rays,1.001618123
2015,Tampa Bay Rays,0.975422427
2016,Tampa Bay Rays,0.889495225
2017,Tampa Bay Rays,0.902040816
2018,Tampa Bay Rays,0.926449788
2019,Tampa Bay Rays,0.896238651
2010,Texas Rangers,1.058974359
2011,Texas Rangers,1.382352941
2012,Texas Rangers,1.182997118
2013,Texas Rangers,0.997076023
2014,Texas Rangers,1.052401747
2015,Texas Rangers,1.123611111
2016,Texas Rangers,1.161335188
2017,Texas Rangers,1.215363512
2018,Texas Rangers,1.351632047
2019,Texas Rangers,1.244680851
2010,Toronto Blue Jays,1.059722222
2011,Toronto Blue Jays,1.151645207
2012,Toronto Blue Jays,1.008032129
2013,Toronto Blue Jays,1.118326118
2014,Toronto Blue Jays,1.042028986
2015,Toronto Blue Jays,0.946386946
2016,Toronto Blue Jays,1.15620438
2017,Toronto Blue Jays,0.945981555
2018,Toronto Blue Jays,0.958068615
2019,Toronto Blue Jays,1.031372549
2010,Washington Nationals,0.964838256
2011,Washington Nationals,0.943251534
2012,Washington Nationals,1.031065089
2013,Washington Nationals,1.01255887
2014,Washington Nationals,1.063934426
2015,Washington Nationals,1.011958146
2016,Washington Nationals,0.955862069
2017,Washington Nationals,1.084583902
2018,Washington Nationals,1.145374449
2019,Washington Nationals,1.085645356
